Country Name,ISO3,Year,HDI,Suicide_rate,GDP_per_capita,log_GDP_per_capita,income_group_auto,continent,Low_data_quality_flag,HDI_sq,Suicide_rate_lag1,HDI_lag1,Low_data_quality_flag_panel
Bulgaria,BGR,2010,0.79,,8815.414857440772,9.084257156395092,Upper-Middle,Europe,✅ Sufficient data,0.6241000000000001,,,⚠️ Low data reliability
Bulgaria,BGR,2019,0.813,,8815.414857440772,9.084257156395092,Upper-Middle,Europe,✅ Sufficient data,0.6609689999999999,,0.79,⚠️ Low data reliability
Bulgaria,BGR,2020,0.802,13.45,8815.414857440772,9.084257156395092,Upper-Middle,Europe,✅ Sufficient data,0.6432040000000001,,0.813,✅ Sufficient data
Bulgaria,BGR,2021,0.796,13.3,8815.414857440772,9.084257156395092,Upper-Middle,Europe,✅ Sufficient data,0.6336160000000001,13.45,0.802,✅ Sufficient data
Bulgaria,BGR,2022,0.799,,8815.414857440772,9.084257156395092,Upper-Middle,Europe,✅ Sufficient data,0.6384010000000001,13.3,0.796,⚠️ Low data reliability
Bulgaria,BGR,2023,0.845,,8815.414857440772,9.084257156395092,Upper-Middle,Europe,✅ Sufficient data,0.7140249999999999,,0.799,⚠️ Low data reliability
Bahrain,BHR,2010,0.807,,24368.313234096808,10.101038929373438,High,Asia,✅ Sufficient data,0.6512490000000001,,,⚠️ Low data reliability
Bahrain,BHR,2019,0.888,,24368.313234096808,10.101038929373438,High,Asia,✅ Sufficient data,0.788544,,0.807,⚠️ Low data reliability
Bahrain,BHR,2020,0.884,4.31,24368.313234096808,10.101038929373438,High,Asia,✅ Sufficient data,0.781456,,0.888,✅ Sufficient data
Bahrain,BHR,2021,0.884,4.28,24368.313234096808,10.101038929373438,High,Asia,✅ Sufficient data,0.781456,4.31,0.884,✅ Sufficient data
Bahrain,BHR,2022,0.888,,24368.313234096808,10.101038929373438,High,Asia,✅ Sufficient data,0.788544,4.28,0.884,⚠️ Low data reliability
Bahrain,BHR,2023,0.899,,24368.313234096808,10.101038929373438,High,Asia,✅ Sufficient data,0.8082010000000001,,0.888,⚠️ Low data reliability
Bahamas,BHS,2010,0.8,,29749.50440401837,10.30056775214656,High,America,✅ Sufficient data,0.6400000000000001,,,⚠️ Low data reliability
Bahamas,BHS,2019,0.802,,29749.50440401837,10.30056775214656,High,America,✅ Sufficient data,0.6432040000000001,,0.8,⚠️ Low data reliability
Bahamas,BHS,2020,0.798,2.61,29749.50440401837,10.30056775214656,High,America,✅ Sufficient data,0.636804,,0.802,✅ Sufficient data
Bahamas,BHS,2021,0.799,2.61,29749.50440401837,10.30056775214656,High,America,✅ Sufficient data,0.6384010000000001,2.61,0.798,✅ Sufficient data
Bahamas,BHS,2022,0.82,,29749.50440401837,10.30056775214656,High,America,✅ Sufficient data,0.6723999999999999,2.61,0.799,⚠️ Low data reliability
Bahamas,BHS,2023,0.82,,29749.50440401837,10.30056775214656,High,America,✅ Sufficient data,0.6723999999999999,,0.82,⚠️ Low data reliability
Bosnia and Herzegovina,BIH,2010,0.718,,5751.347308944572,8.657189420943075,Lower-Middle,Europe,✅ Sufficient data,0.515524,,,⚠️ Low data reliability
