Country Name,Year,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,HDI,Suicide Rate
Iceland,2021,18.6238321613016,66.5075333395055,0.957,12.49
India,2019,26.832323620307,66.944203338595,0.638,12.7
India,2020,26.3453740591996,67.2377729174314,0.638,13.28
India,2021,25.9051614152815,67.5490478920304,0.633,13.33
Indonesia,2019,26.0919538365423,67.4223673692444,0.718,2.4
Indonesia,2020,25.834423429325,67.5576712934403,0.712,1.66
Indonesia,2021,25.575153363288,67.7378359790672,0.707,1.64
Iran,2019,,,0.785,5.2
Iran,2020,,,0.779,4.38
Iran,2021,,,0.776,4.34
"Iran, Islamic Rep.",2019,23.9130747065987,69.0709368826133,,
"Iran, Islamic Rep.",2020,23.7741603461688,68.9964842123217,,
"Iran, Islamic Rep.",2021,23.5503936372517,69.0444241800148,,
Iraq,2019,38.9110996226819,57.7716971724032,0.678,3.6
Iraq,2020,38.4946773190132,58.1449271391287,0.661,4.44
Iraq,2021,38.0622295256828,58.5567231735918,0.667,4.41
Ireland,2019,20.412624650577,65.3435974647567,0.942,9.6
Ireland,2020,20.1012562400824,65.3365964179592,0.945,8.75
Ireland,2021,19.8060804520222,65.3403436125284,0.946,8.41
Isle of Man,2019,15.4014281205148,63.0070334042034,,
Isle of Man,2020,15.1474777995206,62.9952357444075,,
Isle of Man,2021,14.9532432480634,63.0000416144009,,
Israel,2019,28.1244621699124,59.9900386648577,0.909,5.3
Israel,2020,28.0344555732619,59.9126673678488,0.906,5.36
Israel,2021,27.9436441624885,59.8583662424971,0.911,5.15
Italy,2019,13.0238937094704,63.8719351973526,0.899,6.7
Italy,2020,12.8259753776361,63.7947913907968,0.892,6.22
Italy,2021,12.6146793829164,63.7233470647178,0.899,6.44
Ivory Coast,2019,,,0.529,8.9
Ivory Coast,2020,,,0.53,7.13
Ivory Coast,2021,,,0.53,7.05
Jamaica,2019,21.1277982170327,71.9239669163888,0.712,2.4
Jamaica,2020,20.5671381218827,72.2937367238732,0.707,1.37
Jamaica,2021,20.0480215979136,72.640076062095,0.704,1.43
Japan,2019,12.3665590317386,59.0046702146202,0.918,15.3
Japan,2020,12.2207528196353,58.861072796091,0.917,17.53
Japan,2021,12.0482644490059,58.7347384818338,0.92,17.47
Jordan,2019,33.2825066671639,62.9404777962745,0.744,1.6
Jordan,2020,32.8415074603822,63.259407131604,0.74,1.06
Jordan,2021,32.3912858035653,63.6021604582394,0.736,1.07
Kazakhstan,2019,29.0136809520054,63.5059401428091,0.81,17.6
Kazakhstan,2020,29.2105318944548,63.1406766523371,0.806,18.03
Kazakhstan,2021,29.4821416334192,62.7412281334871,0.801,18.2
Kenya,2019,39.868889076487,57.3842176977434,0.604,6.1
Kenya,2020,39.2841689244817,57.9266087955257,0.599,6.84
Kenya,2021,38.6874677694824,58.4939282822839,0.596,6.82
Kiribati,2019,35.1362365387486,60.9709450817258,0.636,28.3
Kiribati,2020,35.1798983338488,60.8898563826834,0.629,17.4
Kiribati,2021,35.165956518691,60.8765588851586,0.627,17.29
"Korea, Dem. People's Rep.",2019,19.1186353060325,69.9565715124061,,
"Korea, Dem. People's Rep.",2020,19.0786194318464,69.8327311825785,,
"Korea, Dem. People's Rep.",2021,19.0574120490497,69.6600902082142,,
"Korea, Rep.",2019,12.4104062587422,72.5261052970989,,
"Korea, Rep.",2020,12.1146595856263,72.0631744683847,,
"Korea, Rep.",2021,11.799988611027,71.5403701724822,,
Kosovo,2019,23.1476511673225,68.3125247145083,,
Kosovo,2020,22.5998434410537,68.6787041578334,,
Kosovo,2021,22.1331072376368,68.9767494877101,,
Kuwait,2019,20.7775843172973,75.6188018374256,0.838,2.9
Kuwait,2020,20.6195979040686,75.3845896861557,0.826,2.1
Kuwait,2021,20.0885216424775,76.488172940313,0.836,1.97
Kyrgyz Republic,2019,32.6091328426779,62.2170191568108,,
Kyrgyz Republic,2020,32.8749645771971,61.9762836597283,,
Kyrgyz Republic,2021,33.0073762420041,61.8818679657153,,
Kyrgyzstan,2019,,,0.699,7.4
Kyrgyzstan,2020,,,0.691,9.17
Kyrgyzstan,2021,,,0.696,9.25
Lao PDR,2019,31.9208047987495,63.9017051908735,,
Lao PDR,2020,31.6070608821236,64.1514210955985,,
Lao PDR,2021,31.2704480300961,64.4114834802021,,
Laos,2019,,,0.617,5.4
Laos,2020,,,0.616,5.28
Laos,2021,,,0.615,5.23
Late-demographic dividend,2019,19.20337860966525,69.26670172057715,,
Late-demographic dividend,2020,18.996100021791865,68.99167803115063,,
Late-demographic dividend,2021,18.70659284391998,68.82965699266741,,
Latin America & Caribbean,2019,24.23803529737009,67.15438379110664,,
Latin America & Caribbean,2020,23.89692265027635,67.26779032802406,,
Latin America & Caribbean,2021,23.569896934773958,67.40328898461189,,
Latin America & Caribbean (excluding high income),2019,24.343313863805207,67.2670719160538,,
Latin America & Caribbean (excluding high income),2020,23.9983355582302,67.4011744901006,,
Latin America & Caribbean (excluding high income),2021,23.679878372930027,67.54539630091969,,
Latin America & the Caribbean (IDA & IBRD countries),2019,24.449725722909164,67.13913248047372,,
Latin America & the Caribbean (IDA & IBRD countries),2020,24.103953564259207,67.25885597134351,,
Latin America & the Caribbean (IDA & IBRD countries),2021,23.77118016671286,67.39925237431748,,
Latvia,2019,15.9402077979881,63.6525649819278,0.873,20.1
Latvia,2020,15.9978297043827,63.329999339864,0.873,18.74
Latvia,2021,16.0040878516876,63.1497512445726,0.865,19.42
Least developed countries: UN classification,2019,39.828794968211305,56.58897833461453,,
Least developed countries: UN classification,2020,39.61002660996785,56.7667707538438,,
Least developed countries: UN classification,2021,39.39737727186861,56.949242231863394,,
Lebanon,2019,27.9082883114848,63.3120025320152,0.76,2.8
Lebanon,2020,27.9465523054119,62.9297413938611,0.742,0.93
Lebanon,2021,27.5996234077922,63.0959048351806,0.725,0.94
