Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
Equatorial Guinea,5836.890278439279,7.4350000000000005,0.674,1.0,0.8,✅ Sufficient data,0.45427600000000007,8.671953447432335,,,,Lower-Middle,GNQ,Africa,1.0
Eritrea,13205.7666875006,13.07,0.503,0.0,0.8,⚠️ Low data reliability,0.253009,9.488408883439629,,,,Upper-Middle,ERI,Africa,1.0
Estonia,20574.643096561922,15.9675,0.905,1.0,0.8,✅ Sufficient data,0.819025,9.931814678933673,,,,High,EST,Europe,1.0
Eswatini,3651.3070203551533,27.26,0.695,1.0,0.8,✅ Sufficient data,0.4830249999999999,8.202840470246949,,,,Lower-Middle,SWZ,Africa,1.0
Ethiopia,794.8338756012587,5.7425,0.497,1.0,0.8,✅ Sufficient data,0.247009,6.678133131310983,,,,Low,ETH,Africa,1.0
Fiji,5200.689510375193,9.1725,0.731,1.0,0.8,✅ Sufficient data,0.534361,8.556546493928236,,,,Lower-Middle,FJI,Oceania,1.0
Finland,45546.99730774808,14.69,0.948,1.0,0.8,✅ Sufficient data,0.898704,10.726499979719362,,,,High,FIN,Europe,1.0
France,37877.78714253458,15.7625,0.92,1.0,0.8,✅ Sufficient data,0.8464,10.542120128025918,,,,High,FRA,Europe,1.0
Gabon,6616.595137767338,8.2075,0.733,1.0,0.8,✅ Sufficient data,0.537289,8.797336186975796,,,,Lower-Middle,GAB,Africa,1.0
"Gambia, The",682.3728676064538,4.9075,0.524,1.0,0.8,✅ Sufficient data,0.27457600000000004,6.525576235138554,,,,Low,GMB,Africa,1.0
Georgia,5052.115486245547,6.2925,0.844,1.0,0.8,✅ Sufficient data,0.712336,8.52756234271931,,,,Lower-Middle,GEO,Asia,1.0
Germany,43704.69870516892,12.77,0.959,1.0,0.8,✅ Sufficient data,0.919681,10.685210897161033,,,,High,DEU,Europe,1.0
Ghana,1996.4917386603024,5.2575,0.628,1.0,0.8,✅ Sufficient data,0.394384,7.599146788583521,,,,Low,GHA,Africa,1.0
Greece,19060.225970022413,4.8925,0.908,1.0,0.8,✅ Sufficient data,0.8244640000000001,9.855359032857873,,,,Upper-Middle,GRC,Europe,1.0
Grenada,9226.133762911099,0.8687499999999999,0.791,1.0,0.8,✅ Sufficient data,0.625681,9.129795362485577,,,,Upper-Middle,GRD,America,1.0
Guatemala,4167.790033257268,5.3775,0.662,1.0,0.8,✅ Sufficient data,0.438244,8.335141206266327,,,,Lower-Middle,GTM,America,1.0
Guinea,946.609968508973,4.9625,0.5,1.0,0.8,✅ Sufficient data,0.25,6.85288714827342,,,,Low,GIN,Africa,1.0
Guinea-Bissau,715.7656693046822,7.475,0.514,1.0,0.8,✅ Sufficient data,0.264196,6.573352835886247,,,,Low,GNB,Africa,1.0
Guyana,9889.49552942015,27.75,0.776,1.0,0.8,✅ Sufficient data,0.602176,9.19922841516819,,,,Upper-Middle,GUY,America,1.0
Haiti,1342.5824861247843,8.185,0.554,1.0,0.8,✅ Sufficient data,0.3069160000000001,7.202350266674137,,,,Low,HTI,America,1.0
Honduras,2394.63468285958,2.99,0.645,1.0,0.8,✅ Sufficient data,0.41602500000000003,7.780985964957851,,,,Lower-Middle,HND,America,1.0
"Hong Kong SAR, China",43747.959644907656,10.12875,0.955,1.0,0.0,⚠️ Low data reliability,0.912025,10.686200254010412,,,,High,HKG,Asia,1.0
Hungary,15356.661925507195,17.2675,0.87,1.0,0.8,✅ Sufficient data,0.7569,9.63930466052557,,,,Upper-Middle,HUN,Europe,1.0
Iceland,56006.018330497514,11.5475,0.972,1.0,0.8,✅ Sufficient data,0.944784,10.933214434130235,,,,High,ISL,Europe,1.0
India,1937.8820378873256,13.465,0.685,1.0,0.8,✅ Sufficient data,0.46922500000000006,7.569350922634985,,,,Low,IND,Asia,1.0
Indonesia,3833.4549726126907,1.4400000000000002,0.728,1.0,0.8,✅ Sufficient data,0.529984,8.251521757165703,,,,Lower-Middle,IDN,Asia,1.0
"Iran, Islamic Rep.",5226.1066383711095,4.0175,0.799,1.0,0.8,✅ Sufficient data,0.6384010000000001,8.561421851224669,,,,Lower-Middle,IRN,Asia,1.0
Iraq,4491.330920894929,3.09,0.695,1.0,0.8,✅ Sufficient data,0.4830249999999999,8.409904355720451,,,,Lower-Middle,IRQ,Asia,1.0
Ireland,84573.53728261121,8.6325,0.949,1.0,0.8,✅ Sufficient data,0.9006009999999999,11.34537669858491,,,,High,IRL,Europe,1.0
